@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-67,80-89,98-127'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute RADII numeric
@attribute Density numeric
@attribute MeanMagnitude numeric
@attribute AbsoluteDiffrence numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,cycling,DownStairs,UpStairs}

@data
0.177351,7.837838,5.027286,0.048502,0.047005,-0.007819,0.760682,6.104651,8.736557,1.249075,2.249877,0.209728,9.37166,5.016717,0.83378,8.93456,7.23049,0.86254,0.72754,0.35369,DownStairs
0.958698,8.16758,3.328537,0.369391,-0.642172,-0.124311,83.677875,723.213691,539.047173,11.60146,18.894058,0.000354,12.47223,69.95949,5.49948,19.60851,18.79209,2.23027,0.91202,1.07451,DownStairs
1.499429,9.842683,3.723342,-0.208855,-0.909027,-0.533744,62.753525,61.785451,235.219828,5.99799,14.13146,0.000846,11.500108,29.951545,5.86579,14.66089,17.09221,2.20064,1.13346,-0.02871,DownStairs
0.733105,8.997769,1.549766,0.055284,-0.463891,-0.109742,26.550115,191.234812,49.81633,5.173019,9.128009,0.003141,9.638616,37.932863,3.88399,18.11992,4.20841,1.94438,3.36648,0.68111,DownStairs
3.5512,7.837541,4.260121,-0.957928,0.084606,0.399507,196.006053,369.544534,114.855191,8.248671,13.764529,0.000916,11.576448,45.731276,11.21983,16.40627,11.42393,1.86406,4.41564,2.21133,DownStairs
1.512836,6.839697,2.721428,0.241078,-0.870269,-0.032009,179.46436,182.080094,126.634912,6.986983,12.386786,0.001257,9.314484,31.586464,10.57998,14.87398,9.09617,3.74369,0.67378,1.44683,DownStairs
5.859569,9.060077,3.063082,-0.508393,-0.330233,0.211422,130.584284,115.337381,295.181573,7.355972,17.244628,0.000466,12.276118,44.843185,14.14494,15.2768,18.17977,1.28465,4.0198,1.72203,DownStairs
5.430767,7.897274,3.29053,-0.028283,-0.421467,-0.372687,154.27596,298.505369,128.123783,7.621713,12.002129,0.001382,11.270376,44.295313,14.26525,16.01063,9.3308,2.64535,3.19971,1.88788,DownStairs
3.112642,8.585488,3.45196,-1.122404,-0.743607,-0.083871,103.566539,427.739624,70.758588,7.759283,15.934298,0.00059,11.622429,36.326074,8.54251,19.60851,7.87573,0.22174,0.55741,0.52931,DownStairs
3.248514,4.107672,6.861183,-0.369055,0.073823,0.475741,276.835099,355.707568,165.640065,8.934107,16.380647,0.000543,11.510094,39.803531,13.55597,13.50749,12.40855,3.37014,2.39551,1.48226,DownStairs
