@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2,6-8-weka.filters.unsupervised.attribute.Remove-R7-9-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R16-18-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R19-21,36-37,39-44-weka.filters.unsupervised.attribute.Remove-R66-68-weka.filters.unsupervised.attribute.Remove-R64-90-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R43-56'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute gyrox7 numeric
@attribute gyroy7 numeric
@attribute gyroz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
-0.51176,-0.63865,9.52593,-0.54408,-0.60932,9.5397,-0.51236,-0.65481,9.56903,-0.55246,-0.60394,9.53371,-0.52792,-0.63087,9.53192,-0.5369,-0.61651,9.53132,-0.53331,-0.63446,9.5379,-0.53211,-0.62848,9.54927,-0.0223,-0.01833,-0.00489,-0.52074,-0.6213,9.53251,-0.54169,-0.6207,-0.531333,-0.625904,9.538261,-0.021899,-0.016556,-0.005193,0.001619,0.001996,0.001413,0.022422,-0.51176,-0.60394,9.56903,-0.01863,-0.0113,-0.00397,Sitting
-0.1664,0.1646,9.58339,-0.167,0.16101,9.58698,-0.16041,0.15562,9.581,-0.1634,0.15083,9.57022,-0.15323,0.15143,9.56304,-0.16101,0.164,9.58638,-0.1652,0.14784,9.57381,-0.14066,0.13946,9.57681,-0.01985,-0.01436,-0.00336,-0.15502,0.15263,9.57501,-0.15143,0.15802,-0.158376,0.154544,9.577644,-0.020708,-0.013959,-0.005682,0.000621,0.000545,0.000503,0.012922,-0.14066,0.1646,9.58698,-0.01863,-0.011,-0.00336,Sitting
-0.15203,0.13228,9.56065,-0.14664,0.15083,9.5792,-0.18316,0.15622,9.56065,-0.1634,0.14545,9.57441,-0.17059,0.15622,9.57681,-0.14964,0.14724,9.56663,-0.1664,0.15682,9.5798,-0.15263,0.15383,9.56304,-0.02199,-0.01466,-0.0058,-0.15562,0.15203,9.58459,-0.14904,0.15263,-0.158915,0.150355,9.573336,-0.020219,-0.01402,-0.005375,0.001232,0.000491,0.000892,0.016172,-0.14664,0.15682,9.58758,-0.01802,-0.01161,-0.00336,Sitting
-0.17418,0.17777,9.56124,-0.16819,0.17538,9.51695,-0.14844,0.18495,9.52054,-0.164,0.18256,9.54748,-0.20171,0.15443,9.51635,-0.22505,0.15742,9.5385,-0.21069,0.16819,9.5367,-0.2077,0.15622,9.53251,-0.02505,-0.01436,-0.00611,-0.18854,0.19273,9.51516,-0.18136,0.17418,-0.186986,0.172383,9.531435,-0.024099,-0.014173,-0.00626,0.005222,0.001542,0.002052,0.029691,-0.14844,0.19273,9.56124,-0.0226,-0.01191,-0.00305,Sitting
-0.15862,0.14066,9.57681,-0.17178,0.14245,9.57561,-0.16101,0.15562,9.58219,-0.16041,0.15443,9.55586,-0.14964,0.14365,9.58339,-0.1646,0.15682,9.59476,-0.1664,0.15862,9.59057,-0.16999,0.14844,9.57501,-0.0226,-0.01191,-0.0058,-0.14126,0.14485,9.57441,-0.1658,0.14186,-0.160951,0.14874,9.577464,-0.021991,-0.014325,-0.005009,0.000787,0.000436,0.001145,0.015388,-0.14126,0.15862,9.59476,-0.02016,-0.01191,-0.00305,Sitting
-0.14365,0.14006,9.5379,-0.11851,0.15083,9.5391,-0.13228,0.15203,9.52832,-0.16281,0.16759,9.55107,-0.164,0.17358,9.52234,-0.15203,0.14964,9.51276,-0.17597,0.164,9.53311,-0.15443,0.15622,9.51157,-0.02566,-0.01527,-0.00733,-0.15083,0.16041,9.54089,-0.15921,0.15682,-0.151372,0.157118,9.531017,-0.025872,-0.016187,-0.005958,0.002471,0.000852,0.001415,0.021767,-0.11851,0.17358,9.55107,-0.02505,-0.01283,-0.00275,Sitting
-0.15263,0.13827,9.57142,-0.1658,0.14844,9.57262,-0.164,0.15742,9.58758,-0.15203,0.15203,9.56723,-0.15742,0.14365,9.58938,-0.16101,0.15263,9.58818,-0.15562,0.15742,9.58459,-0.14425,0.14664,9.60374,-0.02016,-0.01313,-0.00305,-0.167,0.15981,9.58878,-0.14006,0.15562,-0.155982,0.151193,9.583452,-0.020647,-0.013469,-0.005346,0.000728,0.000426,0.001047,0.014836,-0.14006,0.15981,9.60374,-0.01863,-0.01038,-0.00275,Sitting
-0.16041,0.16041,9.58339,-0.15682,0.16041,9.58219,-0.1646,0.15203,9.58758,-0.15802,0.14365,9.57501,-0.1634,0.14485,9.57501,-0.15981,0.15323,9.581,-0.1664,0.1652,9.5816,-0.1646,0.15981,9.57202,-0.0223,-0.01283,-0.00397,-0.167,0.17538,9.58339,-0.16759,0.15921,-0.162865,0.157418,9.579261,-0.02202,-0.014448,-0.004916,0.000134,0.000804,0.00027,0.010992,-0.15682,0.17538,9.58758,-0.02046,-0.01222,-0.00244,Sitting
-0.55905,-0.61471,9.56065,-0.54588,-0.61711,9.55765,-0.54827,-0.62608,9.53611,-0.5387,-0.64524,9.52054,-0.53271,-0.62549,9.52174,-0.55964,-0.61172,9.51516,-0.54947,-0.63207,9.52892,-0.54169,-0.62489,9.54628,-0.01955,-0.00855,-0.00489,-0.53211,-0.60932,9.54808,-0.53091,-0.63805,-0.543843,-0.624468,9.535029,-0.022023,-0.014048,-0.005102,0.000996,0.001219,0.00268,0.022124,-0.53091,-0.60932,9.56065,-0.01955,-0.00855,-0.00214,Sitting
-0.15502,0.14066,9.59776,-0.15802,0.15981,9.59656,-0.17358,0.15083,9.59237,-0.16041,0.14844,9.57322,-0.16999,0.16101,9.5792,-0.15203,0.1658,9.59117,-0.15203,0.16161,9.5786,-0.15263,0.15862,9.57202,-0.02107,-0.01252,-0.00611,-0.16281,0.16161,9.56663,-0.16281,0.1658,-0.159933,0.157419,9.581536,-0.021136,-0.014783,-0.005315,0.00051,0.000601,0.001283,0.015472,-0.15203,0.1658,9.59776,-0.01955,-0.01252,-0.00214,Sitting
