@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R64-65-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R4-6,10-12,16-18,28-30,34-36,40-42,58-61,74-83,92-121-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R41-42,44'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute accz9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute MeanMagnitude numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
0.15323,2.00095,9.28112,0.16999,2.03507,9.27693,0.29509,2.0644,9.36492,0.19573,2.09852,9.30507,0.19573,2.04285,9.28232,0.26157,2.03627,9.31704,0.18316,2.06679,9.29369,0.23882,2.03627,9.31763,0.22505,2.00155,9.3338,0.26875,2.05482,9.31823,0.218712,2.043749,9.309075,-0.02199,-0.01405,0.000366,0.019601,0.00788,0.006734,0.058493,9.533429,0.29509,2.09852,9.36492,-0.00702,0.02627,0.02382,Sitting
0.15383,2.11408,9.30806,0.10894,2.0213,9.28771,0.32382,1.95786,9.31883,0.12031,2.00754,9.28292,0.1239,2.07517,9.34936,0.10894,1.92614,9.34636,0.34776,1.99976,9.31883,0.13767,2.1488,9.31644,0.249,2.09553,9.35055,0.32681,2.14401,9.29429,0.200098,2.049019,9.317335,-0.021288,0.000184,0.007635,0.090388,0.054384,0.005656,0.122649,9.542829,0.34776,2.1488,9.35055,-0.0058,0.05986,0.03451,Sitting
0.22924,1.97821,9.26436,0.14784,2.13503,9.27334,0.33698,2.04225,9.32123,0.29389,2.03567,9.26795,0.07901,1.98719,9.31704,0.23164,2.20626,9.26137,-0.04908,1.80224,9.22007,0.44233,2.30143,9.3338,0.34117,2.08056,9.35893,0.20231,1.99138,9.2907,0.225533,2.056022,9.290879,-0.018051,-0.01115,-0.000029,0.180974,0.169621,0.0155,0.191336,9.520062,0.44233,2.30143,9.35893,0.00764,0.06322,0.05498,Sitting
0.09278,2.01233,9.23683,0.27713,2.01233,9.35774,0.11791,1.94708,9.31344,0.09577,1.7747,9.34577,0.32202,2.35649,9.26915,0.38666,2.20087,9.30626,-0.19752,1.80643,9.30267,0.06165,1.85551,9.28831,0.32561,1.75375,9.35893,-0.0832,1.95427,9.26137,0.139881,1.967376,9.304047,-0.023824,-0.012278,-0.001009,0.321779,0.331732,0.015536,0.258659,9.514221,0.38666,2.35649,9.35893,0.00764,0.12675,0.04581,Sitting
0.48303,2.16436,9.34996,0.31484,2.17274,9.23982,-0.35614,1.77949,9.26436,0.40761,2.33914,9.26137,0.26157,2.01711,9.36612,0.45729,2.41635,9.28711,0.11253,2.29245,9.24401,0.01377,1.898,9.31704,0.34477,2.12605,9.32003,0.37769,2.05901,9.38647,0.241696,2.12647,9.303629,-0.013654,-0.02535,-0.001925,0.593156,0.349489,0.02459,0.311004,9.55152,0.48303,2.41635,9.38647,0.0223,0.11362,0.03024,Sitting
0.10475,1.97941,9.30087,0.06764,2.01412,9.29309,0.09098,2.065,9.29429,0.22565,2.07278,9.31704,0.15443,2.05422,9.32661,0.20411,2.06799,9.2889,0.22087,2.1051,9.25778,0.22984,2.01113,9.35355,0.08679,2.03747,9.31105,-0.08021,2.01891,9.28232,0.130485,2.042613,9.30255,-0.020066,-0.049724,0.017256,0.085565,0.01248,0.006223,0.102112,9.525578,0.22984,2.1051,9.35355,0.00092,0.02779,0.07483,Sitting
0.36452,1.88484,9.33559,0.11971,2.08894,9.2889,0.06584,2.09193,9.29669,0.25917,2.1039,9.2907,0.06165,1.91835,9.27454,-0.02035,2.0225,9.29369,0.02993,1.9818,9.23204,0.19692,2.02011,9.32781,0.15383,2.05662,9.29848,-0.09278,2.06859,9.31584,0.113844,2.023758,9.295428,-0.017073,-0.01237,-0.005283,0.165265,0.050593,0.007611,0.149489,9.514983,0.36452,2.1039,9.33559,0.00061,0.04887,0.05528,Sitting
0.44891,1.87765,9.36013,0.02634,2.03447,9.32542,0.21548,1.92314,9.31524,-0.05447,2.06201,9.25239,0.05686,1.97103,9.29609,-0.32142,1.99856,9.17937,0.26157,2.02849,9.35953,0.29928,1.97881,9.34038,0.10415,2.04525,9.31883,0.0012,2.05303,9.35893,0.10379,1.997244,9.310631,-0.022297,-0.001252,0.001067,0.419269,0.032796,0.029199,0.219377,9.525389,0.44891,2.06201,9.36013,0.00428,0.21411,0.06292,Sitting
0.27773,2.00574,9.25239,0.07602,2.03627,9.32542,-0.07422,2.00754,9.32901,0.05207,1.9836,9.32362,0.09936,2.19728,9.3302,0.13108,2.09433,9.31644,-0.07302,1.93811,9.27993,0.22685,2.03507,9.32542,0.15622,2.03028,9.33439,-0.05806,1.91297,9.32063,0.081403,2.024119,9.313745,-0.022785,0.018144,-0.004427,0.136491,0.057226,0.006263,0.141414,9.532494,0.27773,2.19728,9.33439,0.0168,0.11912,0.02932,Sitting
0.249,2.17633,9.30806,-0.07542,2.21404,9.27394,0.15921,1.84713,9.3302,0.00239,2.06739,9.28352,0.20231,1.97941,9.29848,0.10175,2.17154,9.26736,0.10594,1.92614,9.33619,0.08559,2.25175,9.29549,0.2077,1.72682,9.36791,-0.18794,1.94349,9.30746,0.085053,2.030404,9.306861,-0.019792,-0.027306,0.000335,0.168995,0.272076,0.008522,0.212036,9.528484,0.249,2.25175,9.36791,0.00489,0.06964,0.04551,Sitting
