@relation  'activity_recognition_PAMS01'

@attribute   ID  numeric
@attribute  timestamp  numeric
@attribute  accX0  numeric
@attribute  accy0  numeric
@attribute  accz0  numeric
@attribute  gyrox0  numeric
@attribute  gyroy0  numeric
@attribute  gyroz0  numeric
@attribute  accX1  numeric
@attribute  accy1  numeric
@attribute  accz1  numeric
@attribute  gyrox1  numeric
@attribute  gyroy1  numeric
@attribute  gyroz1  numeric
@attribute  accX2  numeric
@attribute  accy2  numeric
@attribute  accz2  numeric
@attribute  gyrox2  numeric
@attribute  gyroy2  numeric
@attribute  gyroz2  numeric
@attribute  accX3  numeric
@attribute  accy3  numeric
@attribute  accz3  numeric
@attribute  gyrox3  numeric
@attribute  gyroy3  numeric
@attribute  gyroz3  numeric
@attribute  accX4  numeric
@attribute  accy4  numeric
@attribute  accz4  numeric
@attribute  gyrox4  numeric
@attribute  gyroy4  numeric
@attribute  gyroz4  numeric
@attribute  accX5 numeric
@attribute  accy5  numeric
@attribute  accz5  numeric
@attribute  gyrox5  numeric
@attribute  gyroy5  numeric
@attribute  gyroz5  numeric
@attribute  accX6  numeric
@attribute  accy6  numeric
@attribute  accz6  numeric
@attribute  gyrox6  numeric
@attribute  gyroy6  numeric
@attribute  gyroz6  numeric
@attribute  accX7  numeric
@attribute  accy7  numeric
@attribute  accz7  numeric
@attribute  gyrox7  numeric
@attribute  gyroy7  numeric
@attribute  gyroz7  numeric
@attribute  accX8  numeric
@attribute  accy8  numeric
@attribute  accz8  numeric
@attribute  gyrox8  numeric
@attribute  gyroy8  numeric
@attribute  gyroz8  numeric
@attribute  accX9  numeric
@attribute  accy9  numeric
@attribute  accz9  numeric
@attribute  gyrox9  numeric
@attribute  gyroy9  numeric
@attribute  gyroz9  numeric
@attribute  email   string
@attribute  tdate   string
@attribute  position   string
@attribute  sex   string
@attribute  age   numeric
@attribute  CentroidAccX  numeric
@attribute  CentroidAccY  numeric
@attribute  CentroidAccZ  numeric
@attribute  CentroidGyroX  numeric
@attribute  CentroidGyroY  numeric
@attribute  CentroidGyroZ  numeric
@attribute  stdx  numeric
@attribute  stdy  numeric
@attribute  stdz  numeric
@attribute  Realstddev  numeric
@attribute  RADII  numeric
@attribute  Density  numeric
@attribute  Magnitude0  numeric
@attribute  Magnitude1  numeric
@attribute  Magnitude2  numeric
@attribute  Magnitude3  numeric
@attribute  Magnitude4  numeric
@attribute  Magnitude5  numeric
@attribute  Magnitude6  numeric
@attribute  Magnitude7  numeric
@attribute  Magnitude8  numeric
@attribute  Magnitude9  numeric
@attribute  MeanMagnitude  numeric
@attribute  AbsoluteDiffrence  numeric
@attribute   maxaccx   numeric
@attribute   maxaccy   numeric
@attribute   maxaccz   numeric
@attribute   maxgyrox   numeric
@attribute   maxgyroy   numeric
@attribute   maxgyroz   numeric
@attribute   Roll0    numeric
@attribute   Pitch0   numeric
@attribute   Yaw0     numeric
@attribute   Roll1    numeric
@attribute   Pitch1   numeric
@attribute   Yaw1     numeric
@attribute   Roll2    numeric
@attribute   Pitch2   numeric
@attribute   Yaw2     numeric
@attribute   Roll3    numeric
@attribute   Pitch3   numeric
@attribute   Yaw3     numeric
@attribute   Roll4    numeric
@attribute   Pitch4   numeric
@attribute   Yaw4     numeric
@attribute   Roll5    numeric
@attribute   Pitch5   numeric
@attribute   Yaw5     numeric
@attribute   Roll6    numeric
@attribute   Pitch6   numeric
@attribute   Yaw6     numeric
@attribute   Roll7    numeric
@attribute   Pitch7   numeric
@attribute   Yaw7     numeric
@attribute   Roll8    numeric
@attribute   Pitch8   numeric
@attribute   Yaw8     numeric
@attribute   Roll9    numeric
@attribute   Pitch9   numeric
@attribute   Yaw9     numeric
@attribute class {"Sitting", "Standing" , "Running" , "Walking" , "DownStairs" ,"UpStairs"}

@data


1,1.29E+13,0.59316,0.6189,9.56065,-0.56352,-0.96303,0.05651,1.41797,1.14263,9.17159,-0.1405,0.54245,0.05651,1.35632,1.13186,9.16081,-0.01252,0.02046,0.10812,0.71706,0.65601,9.47326,0.1179,0.10446,0.20617,0.93853,7.77637,4.75488,-0.59468,0.43127,0.38759,1.06123,7.8877,5.29059,-0.05956,0.18937,0.16829,1.12408,10.63265,4.6675,0.51343,-0.02107,0.08277,2.33854,9.86291,1.73939,0.13225,-0.18448,-0.07269,1.38265,8.80767,1.56401,0.55986,-0.33353,-0.16432,0.93853,9.21289,7.6083,0.45235,0.2868,0.00031,mu@gmail.com,Sun.Nov.19.16:21:16.GMT+03:30.2017,leg,Female,1,1.186807,5.772959,6.299098,0.040501,0.00727,0.082926,2.163080575,165.5999149,88.14344665,5.058719622,6.23258575,0.009865691,9.599005387,9.350631282,9.32958471,9.522981633,9.163059137,9.556796689,11.66629153,10.2845146,9.051679354,11.98517458,9.95097189,8.166130077,2.33854,10.63265,9.56065,0.55986,0.54245,0.38759,0.061833296,0.064520185,0.784437715,0.152231607,0.122504347,0.779492954,0.145895414,0.121619034,0.779977269,0.075369181,0.068941638,0.783969893,0.102605341,1.013456698,0.77584373,0.111274019,0.970821406,0.775536989,0.096502527,1.146671669,0.771305016,0.22939106,1.283473141,0.538069027,0.153351001,1.3380761,0.642995213,0.078387832,0.87679134,0.781622672,DownStairs
2,1.29E+13,0.57221,7.49804,1.57898,0.04917,-0.12004,0.05864,1.76991,8.29292,3.3842,-0.67226,0.23549,0.05864,0.65422,15.6904,6.8959,-0.61056,0.18173,-0.2981,-0.69372,7.47889,5.63296,-0.94287,-0.20159,-0.03848,-1.38864,6.22014,5.4905,-1.27396,0.21136,0.34056,-0.44712,7.25443,6.35122,0.13867,0.47403,-0.00855,-0.18794,7.63032,4.87938,0.72876,0.15027,0.13683,-0.19632,8.13669,4.03962,0.70555,-0.63377,0.30971,0.17298,8.22827,4.02465,0.45112,-0.1689,0.02871,2.72101,18.43056,5.01525,0.67165,-0.40378,0.00275,mu@gmail.com,Sun.Nov.19.16:21:18.GMT+03:30.2017,leg,Female,1,0.297659,9.486066,4.729266,-0.075473,-0.02752,0.059071,13.11916597,150.395465,21.53109852,4.301694195,9.271374754,0.002997091,7.68382756,9.130055486,17.15138749,9.388571853,8.412137238,9.652184541,9.058998506,9.08640718,9.161449498,19.29357846,10.80185978,29.68249278,2.72101,18.43056,6.8959,0.72876,0.47403,0.34056,0.074538399,1.35044611,0.754569654,0.19509052,1.139225803,0.725098532,0.038153108,1.155057335,0.783158116,-0.073957234,0.921641604,0.781634956,-0.165834831,0.832215069,0.769899567,-0.046339775,0.850460522,0.784162217,-0.020747711,1.001520947,0.785027545,-0.021607581,1.109506982,0.784808403,0.018882414,1.115522431,0.784936766,0.141503654,1.270568492,0.721072735,DownStairs
3,1.29E+13,1.41437,8.07385,2.37445,0.03024,-0.6072,-0.25626,0.9517,8.98544,2.94367,0.48136,-0.65057,-0.25626,0.38906,7.77337,2.17513,-0.1686,-0.31979,0.03146,1.02951,6.96713,2.63721,-0.61972,0.28283,-0.2978,-3.53025,13.39137,7.33643,-0.61972,0.12492,-0.44349,-1.76812,7.65067,4.97874,-1.42484,-0.01436,0.18143,-0.90441,5.83228,6.7307,-0.70372,0.7703,-0.27947,-0.72365,6.78277,5.84963,-0.14111,0.60628,-0.22724,-0.3322,8.51618,4.75848,0.80481,-0.14936,0.18845,2.43011,9.63068,3.13042,1.43248,-0.77397,0.13775,mu@gmail.com,Sun.Nov.19.16:21:20.GMT+03:30.2017,leg,Female,1,-0.104388,8.360374,4.291486,-0.092882,-0.073092,-0.122143,26.95479698,39.09115306,32.39496414,3.137529509,6.805816274,0.007576902,8.53378633,9.503107805,8.081326584,7.520350249,15.67209816,9.297679913,8.951858463,8.985978485,9.761086545,10.41417117,9.672144371,13.66184553,2.43011,13.39137,7.33643,1.43248,0.7703,0.18845,0.166505996,1.240986876,0.709772241,0.100314345,1.239208025,0.760554454,0.048161703,1.293842546,0.777525379,0.137327785,1.184834826,0.749967181,-0.22720682,1.024533737,0.733424001,-0.191333136,0.966422303,0.75572104,-0.101203084,0.709581197,0.780924607,-0.080618317,0.855375199,0.781601221,-0.03403967,1.060218537,0.784182688,0.235517738,1.180422377,0.668565458,DownStairs
4,1.29E+13,1.02651,8.56406,2.17154,0.22571,-0.63805,-0.79351,0.87628,7.65486,2.83952,0.24129,-0.52382,-0.79351,1.05704,7.82006,2.54025,-0.47342,0.197,0.09407,0.36152,19.06323,7.43938,-0.50885,0.36652,-0.3094,-0.25438,5.69341,4.40593,-3.35884,-0.71441,-0.17349,1.63644,7.07606,4.49511,0.56902,0.47953,-0.26176,-1.58017,7.1036,3.18369,1.68599,-0.85674,-0.21838,1.33237,11.30422,3.48656,0.97005,-1.08337,0.00733,1.25456,6.43502,4.376,-0.12431,-0.08125,0.32712,1.29766,7.00783,2.90477,-0.08583,-1.16278,-0.20617,mu@gmail.com,Sun.Nov.19.16:21:22.GMT+03:30.2017,leg,Female,1,0.700783,8.772235,3.784275,-0.085919,-0.401737,-0.23277,8.431285933,138.2302418,20.86561237,4.093007942,10.92609125,0.001831209,8.894516987,8.211432402,8.289966347,20.4666023,7.203599501,8.541345029,7.943170161,11.90448236,7.882434852,7.696186818,9.703373675,25.92867461,1.63644,19.06323,7.43938,1.68599,0.47953,0.32712,0.115667045,1.297354376,0.735063625,0.106918223,1.200499081,0.762663796,0.127856424,1.232484344,0.745516778,0.017664818,1.198325758,0.78480848,-0.035320245,0.911390297,0.784566193,0.192782344,0.976330833,0.754304348,-0.200270495,1.106870841,0.73045499,0.112156699,1.251883284,0.751347588,0.159838678,0.955105461,0.765656198,0.169420092,1.144633641,0.73996971,DownStairs
5,1.29E+13,-1.77045,13.39376,8.24024,-0.64446,-0.45815,-0.35644,-0.40582,2.91793,5.36541,-2.99416,-0.88331,-0.35644,-0.16939,8.30429,4.9943,1.25808,1.53846,-0.65363,0.81822,14.17367,1.47363,1.64506,-1.05527,-0.01436,1.55084,8.83101,3.44945,-0.11148,-1.19455,-0.21686,0.0814,6.72831,2.6432,0.62369,-0.32132,-0.18173,1.04267,7.52976,3.00053,-0.12217,-0.83475,-0.25107,-2.10271,19.60851,9.69293,-0.44685,-0.38668,-0.17898,-0.3705,3.77446,5.03979,-3.58425,-0.39828,-0.31246,1.06183,6.78577,5.22834,0.70005,0.58399,-0.25656,mu@gmail.com,Sun.Nov.19.16:21:23.GMT+03:30.2017,leg,Female,1,-0.026391,9.204747,4.912782,-0.367649,-0.340986,-0.277853,13.1754291,235.2286687,57.02583401,5.526571558,11.63611619,0.001516031,15.82494409,6.120999087,9.691901664,14.27354163,9.606796949,7.229335215,8.172369709,21.97425643,6.307400557,8.631899941,10.78334453,39.44541713,1.55084,19.60851,9.69293,1.64506,1.53846,-0.01436,-0.112111882,1.009132489,0.774116987,-0.066348302,0.496906134,0.783972027,-0.017478368,1.029085288,0.785110744,0.057355687,1.452431206,0.718418636,0.162141044,1.166161026,0.739438934,0.011259918,1.196309701,0.785161177,0.127933476,1.171585455,0.756913396,-0.095836336,1.102503384,0.773902703,-0.058774355,0.641524671,0.78405069,0.123324685,0.904517525,0.775294321,DownStairs
6,1.29E+13,-0.49021,6.772,3.2609,1.54121,-0.52718,-0.12462,2.08655,10.96125,5.44322,1.4114,-0.5284,-0.12462,0.79607,7.21553,3.23397,-0.24984,-0.05437,0.04826,1.12587,6.84323,3.0981,0.43219,-0.37568,-0.21075,1.06722,10.26873,6.5655,-0.53481,-0.09896,-0.23824,-2.92512,3.73316,6.22073,-0.95356,-0.4386,0.23305,-0.37469,4.22277,4.53522,-1.12918,0.25412,-0.11668,-0.26815,7.01322,3.81875,1.53083,0.07758,-0.22022,0.85653,12.72039,4.54479,2.03296,-1.17408,-0.07208,1.06183,7.30172,2.62704,-4.02438,-0.94806,-0.41081,mu@gmail.com,Sun.Nov.19.16:21:25.GMT+03:30.2017,leg,Female,1,0.29359,7.7052,4.334822,0.005682,-0.381363,-0.123671,17.40206572,72.72536253,16.92287993,3.271854339,5.449205888,0.014761574,7.532181534,12.41496421,7.947085163,7.59576222,12.23485041,7.822422408,6.208091455,7.989994415,13.53503164,7.832237041,9.11126205,21.70212023,2.08655,12.72039,6.5655,2.03296,0.25412,0.23305,-0.065128107,1.117653226,0.779811421,0.168868791,1.082016167,0.751150167,0.100339604,1.138358359,0.770692971,0.148771626,1.121901719,0.754407317,0.08733887,0.995997405,0.778878508,-0.383254059,0.497509409,0.735541306,-0.060391806,0.748041197,0.783697538,-0.033567028,1.071146313,0.784168506,0.063324767,1.222080733,0.776672982,0.135990507,1.200623792,0.747603617,DownStairs
7,1.29E+13,0.1257,7.00843,1.54306,0.75686,-1.26938,-0.31032,1.24558,6.67743,3.08732,-0.48778,0.03757,-0.31032,-3.63859,6.01783,6.8959,-0.63683,-0.78191,-0.00764,-0.61471,3.41293,4.4993,-1.67652,-0.22052,0.27886,-0.62489,7.07187,4.98473,1.36376,1.22295,-0.52198,0.9481,13.86003,5.85981,1.96485,-1.02625,-0.05742,0.97324,6.41347,3.08253,-2.33473,-1.08917,-1.02717,0.43515,7.47709,2.35889,0.84238,-0.74862,-0.21472,0.9499,6.85939,3.49314,-0.16952,0.10904,-0.18204,-3.07416,5.60483,6.66067,-0.46456,-0.52107,0.01436,mu@gmail.com,Sun.Nov.19.16:21:27.GMT+03:30.2017,leg,Female,1,-0.327468,7.04033,4.246535,-0.084209,-0.428736,-0.233839,26.89082515,63.52266618,30.19693273,3.472901151,7.12306381,0.00660894,7.177389896,7.461305899,9.849215802,5.680639054,8.674639242,15.07768876,7.182046,7.852425894,7.756002079,9.231960999,8.594331363,16.91235871,1.24558,13.86003,6.8959,1.96485,1.22295,0.27886,0.017514226,1.353386481,0.783744652,0.167723882,1.108299385,0.747732116,-0.378394921,0.657317952,0.724147716,-0.108423725,0.644501937,0.780774754,-0.072098873,0.953134955,0.781499919,0.062922503,1.166148289,0.778937968,0.135928325,1.103937504,0.761651389,0.055444398,1.260362971,0.777032594,0.122781151,1.085201862,0.767566655,-0.339473842,0.652420477,0.737195057,DownStairs
8,1.29E+13,-1.24798,4.14616,3.91691,-1.73241,-0.34606,0.54214,-0.65541,6.11,4.94163,1.19333,1.36162,0.54214,1.60172,15.88254,3.28664,2.00608,-0.31062,-0.02474,0.60513,7.29932,2.8479,-2.4792,-0.31032,-1.00121,-0.22266,6.00945,2.2727,1.12949,-0.61453,-0.10385,-0.56922,11.14082,5.64134,-0.4386,0.33964,-0.2981,-3.78882,4.75488,5.75087,-1.33505,-0.49633,-0.03787,-1.68432,4.20781,3.1795,-1.06627,0.46304,0.51954,-1.62147,6.88513,5.44741,1.39705,0.17013,0.06933,0.68893,14.44901,4.83389,2.266,-0.42547,-0.04398,mu@gmail.com,Sun.Nov.19.16:21:29.GMT+03:30.2017,leg,Female,1,-0.68941,8.088512,4.211879,0.094042,-0.01689,0.01634,20.83531339,162.5424418,14.48755733,4.448205397,8.176320465,0.00436977,5.838688275,7.885516427,16.29793196,7.858548797,6.428703763,12.50066393,8.368784055,5.536408503,8.927959217,15.25172145,9.489492638,31.16367885,1.60172,15.88254,5.75087,2.266,1.36162,0.54214,-0.215405131,0.789666363,0.761236061,-0.083211668,0.886459236,0.78103875,0.098436393,1.344538009,0.732224786,0.077079068,1.191264421,0.774359201,-0.034642216,1.207650752,0.783010008,-0.045550932,1.100024038,0.782865763,-0.469827448,0.604278583,0.695756436,-0.309125922,0.863351895,0.723717489,-0.182630644,0.880704308,0.76418123,0.045186014,1.244915568,0.780371087,DownStairs
