@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-1.7554,0.7198,9.7369,sitting
-1.7817,0.6695,9.7201,sitting
-1.7769,0.6911,9.7106,sitting
-2.0353,0.7533,9.701,sitting
-0.7049,-0.1201,9.8852,sitting
0.2043,-0.4623,9.3253,sitting
-0.4465,-0.5053,9.9905,sitting
-0.6284,-0.2158,9.8446,sitting
1.9152,-0.2708,9.5526,sitting
-0.1905,-0.6346,10.0384,sitting
-0.3006,-0.3642,9.8493,sitting
-0.3819,-0.4455,9.9331,sitting
-0.4393,-0.5006,9.9307,sitting
-0.7145,-0.6154,9.8781,sitting
-0.8294,-0.4431,9.9068,sitting
-0.7648,-0.5604,9.8589,sitting
-1.1357,-0.3905,9.9187,sitting
-0.8246,-0.4599,9.8685,sitting
-0.8509,-0.4695,9.8757,sitting
-0.7983,-0.5173,9.8781,sitting
-0.7887,-0.4527,9.8517,sitting
-0.803,-0.412,9.8924,sitting
-0.8318,-0.5436,9.8805,sitting
-0.8365,-0.4527,9.8876,sitting
-0.8318,-0.4407,9.902,sitting
-0.803,-0.4431,9.8565,sitting
-0.8126,-0.4647,9.9044,sitting
-0.8581,-0.4695,9.89,sitting
-0.815,-0.5029,9.89,sitting
-0.8485,-0.491,9.8805,sitting
-0.7887,-0.4766,9.9068,sitting
-0.8318,-0.4479,9.8661,sitting
-0.8342,-0.4479,9.8613,sitting
-0.8437,-0.4695,9.8852,sitting
-0.8006,-0.4407,9.8613,sitting
-0.8461,-0.4072,9.8565,sitting
-0.7887,-0.4551,9.8541,sitting
-0.7719,-0.4766,9.8829,sitting
-0.7983,-0.424,9.9044,sitting
-0.8102,-0.4838,9.8733,sitting
-0.8126,-0.4288,9.8637,sitting
-0.7648,-0.4144,9.8733,sitting
-1.1476,-0.7638,9.9714,sitting
-1.2529,-0.6992,9.7297,sitting
-0.5805,-1.338,10.0599,sitting
-0.2096,-0.7374,10.0216,sitting
-1.1213,-0.8954,9.8326,sitting
-0.6212,1.3419,9.0358,sitting
-1.6381,-1.4194,10.1269,sitting
-0.2359,-0.022,9.9451,sitting
-0.4465,-0.3522,9.8876,sitting
-1.0615,-0.1201,9.9331,sitting
-0.3987,-0.0962,9.7943,sitting
-0.6308,-0.0866,9.9116,sitting
-0.5327,-0.1392,9.914,sitting
-0.6116,-0.1225,9.9307,sitting
-0.5494,-0.1057,9.9116,sitting
-0.5805,-0.1345,9.89,sitting
-0.5566,-0.1249,9.8852,sitting
-0.5566,-0.0627,9.8589,sitting
-0.5853,-0.1416,9.9068,sitting
-0.5638,-0.1081,9.9187,sitting
-0.5638,-0.1177,9.8972,sitting
-0.5997,-0.1225,9.8709,sitting
-0.5829,-0.1321,9.8852,sitting
-0.5327,-0.1105,9.8757,sitting
-0.559,-0.0866,9.8996,sitting
-0.5303,-0.1416,9.8613,sitting
-0.5446,-0.1177,9.9187,sitting
-0.547,-0.1464,9.9355,sitting
-0.5327,-0.1225,9.9164,sitting
-0.5542,-0.0651,9.8733,sitting
-0.5973,-0.1273,9.89,sitting
-0.5709,-0.1345,9.8805,sitting
